SK_ID_CURR,TARGET
100001,0.07851457787440602
100005,0.1379263019701664
100013,0.0821936672849692
100028,0.08092138862783613
100038,0.13261834508574433
100042,0.06427888990341162
100057,0.09433683133307458
100065,0.10940564373594501
100066,0.05517726159850605
100067,0.0937629922653372
100074,0.08014846004854839
100090,0.12499391351185783
100091,0.11777333221849616
100092,0.11040157883329618
100106,0.1329654235139274
100107,0.10401559056510863
100109,0.1124265385763397
100117,0.09148151731919946
100128,0.07427608898476964
100141,0.10701244492427985
100150,0.07940272885424472
100168,0.0665619628849432
100169,0.04984994805668072
100170,0.09066166221266032
100171,0.10870960342900006
100172,0.13412537222407805
100184,0.08360238453272094
100187,0.07128818304009943
100212,0.08778033539830861
100222,0.10285563007791744
100223,0.06377899792024687
100232,0.07493325716711609
100241,0.1357140675858707
100245,0.07874503798505508
100253,0.06694364930919179
100256,0.10193013461001478
100271,0.0670798257349684
100278,0.12066355260277097
100280,0.07317271376356514
100306,0.14169471092660527
100311,0.12069326241924393
100312,0.07154969387398452
100330,0.09059156333684278
100331,0.1063038369185427
100352,0.09681152061599717
100358,0.11636302140375696
100367,0.10020384345065171
100382,0.08544326116360726
100384,0.0791962625768528
100385,0.10196396511609393
100386,0.08524628502173492
100399,0.07867233895163783
100404,0.0773333855118883
100416,0.07096329648561542
100422,0.142484954823774
100426,0.08738176587866785
100438,0.07348930599286804
100444,0.10463307840228707
100445,0.12496608904781828
100446,0.10627431767136365
100447,0.0744700462211926
100450,0.08355084580690957
100466,0.0975670872025918
100483,0.07762854344214225
100484,0.0614647543468513
100494,0.09154364950616332
100510,0.1234958410298995
100512,0.07063895845797516
100517,0.08013226024087927
100548,0.06575272831721095
100551,0.08072915030545162
100552,0.1299861998739263
100553,0.0884689058674359
100561,0.10011003013351145
100568,0.13715969974616338
100569,0.06974983477029144
100591,0.10395226953106348
100592,0.06096799215884773
100602,0.09618246287266612
100607,0.09462527240589567
100613,0.09349040024138217
100617,0.074873399902624
100618,0.10614997339457406
100622,0.15270556055117307
100625,0.10453720502974059
100677,0.0937531002248496
100699,0.08868131435933006
100702,0.14406571178896752
100711,0.07706757238564468
100729,0.14679971726712357
100740,0.11863686650737354
100744,0.11138944917241385
100745,0.1030114226673035
100747,0.10480969818799245
100751,0.11374527621049012
100752,0.09457519066442652
